Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Fish ID,Length/FID,School/Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD2_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,flight,Shark 1,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM3_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,C- turn,Pipe 2,prior Speed 1 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD2_CAM3_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,flight,Diver 1,prior Speed 1 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Perspex 1,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Pipe 1,prior Speed 1 Time (1 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Pipe 2,prior Speed 1 Time (1 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,C- turn,Shark 1,prior Speed 1 Time (1 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Shark 2,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Pipe 2,prior Speed 1 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Turtle 1,prior Speed 1 Time (1 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,flight,Turtle 2,prior Speed 1 Time (1 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,flight,Turtle 3,prior Speed 1 Time (1 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM7_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Turtle 1,prior Speed 1 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Pomacanthidae,Pomacanthus,sexstriatus,,,,hide,Diver 1,prior Speed 1 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Diver 2,prior Speed 1 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Pomacanthidae,Pomacanthus,sexstriatus,,,,hide,Diver 3,prior Speed 1 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Perspex 2,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 1,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 3,prior Speed 1 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,flight,Shark 2,prior Speed 1 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Shark 3,prior Speed 1 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Shark 4,prior Speed 1 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Pomacanthidae,Pomacanthus,sexstriatus,,,,flight,Shark 5,prior Speed 1 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Pomacanthidae,Pomacanthus,sexstriatus,,,,flight,Turtle 1,prior Speed 1 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,flight,Turtle 2,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,prior Speed 1 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Turtle 2,prior Speed 1 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD3_CAM3_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Diver 1,prior Speed 1 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM3_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Shark 1,prior Speed 1 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Shark 1,prior Speed 1 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Turtle 1,prior Speed 1 Time (1 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Turtle 2,prior Speed 1 Time (1 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM6_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Shark 1,prior Speed 1 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM6_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Turtle 2,prior Speed 1 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2a,prior Speed 1 Time (3 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Perspex 1,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Lethrinidae,Lethrinus,atkinsoni,,,,flight,Pipe 1,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Pipe 2,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,swim backwards,Pipe 1,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,prior Speed 1 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Turtle 1,prior Speed 1 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Turtle 2,prior Speed 1 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Perspex 1,prior Speed 1 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Perspex 2,prior Speed 1 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,C- turn,Diver 2,prior Speed 1 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,flight,Diver 1,prior Speed 1 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Shark 2,prior Speed 1 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM7_RIG2,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Turtle 1,prior Speed 1 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD5_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Pipe 1,prior Speed 1 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM10_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Turtle 1,prior Speed 2 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD1_CAM11_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 1,prior Speed 2 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2,prior Speed 2 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3c,prior Speed 2 Time (4 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 1,prior Speed 2 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2,prior Speed 2 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3b,prior Speed 2 Time (3 sec),School
,,,Diver,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Diver 1,prior Speed 2 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,hide,Diver 2,prior Speed 2 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Diver 3a,prior Speed 2 Time (3 sec),School
,,,Diver,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Diver 3b,prior Speed 2 Time (3 sec),School
