Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Fish ID,Length/FID,School/Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 1,prior Speed 2 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,prior Speed 2 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 3,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Pomacanthidae,Pomacanthus,sexstriatus,,,,flight,Shark 1,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,flight,Shark 2,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Shark 3,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Shark 4,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Pomacanthidae,Pomacanthus,sexstriatus,,,,flight,Shark 5,prior Speed 2 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,flight,Turtle 2,prior Speed 2 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD3_CAM2_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 4,prior Speed 2 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM2_RIG1,Andrea Asunsolo,,Pomacanthidae,Pomacanthus,sexstriatus,,,,flight,Shark 1,prior Speed 2 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Turtle 2,prior Speed 2 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD3_CAM3_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Diver 1,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM3_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Shark 1,prior Speed 2 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD3_CAM3_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 1b,prior Speed 2 Time (3 sec),School
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Shark 1,prior Speed 2 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Turtle 1,prior Speed 2 Time (1 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Turtle 2,prior Speed 2 Time (1 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM6_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Shark 1,prior Speed 2 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM6_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Turtle 2,prior Speed 2 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2a,prior Speed 2 Time (3 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Perspex 1,prior Speed 2 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Lethrinidae,Lethrinus,atkinsoni,,,,flight,Pipe 1,prior Speed 2 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Pipe 2,prior Speed 2 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,swim backwards,Pipe 1,prior Speed 2 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,prior Speed 2 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Turtle 1,prior Speed 2 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Turtle 2,prior Speed 2 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Perspex 1,prior Speed 2 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Perspex 2,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Shark 2,prior Speed 2 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,flight,Diver 1,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Shark 1,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Shark 2,prior Speed 2 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM7_RIG2,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Turtle 1,prior Speed 2 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD5_CAM1_RIG2,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,flight,Shark 1,prior Speed 2 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD5_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Pipe 1,prior Speed 2 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM10_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Turtle 1,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD1_CAM11_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 1,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3c,prior Speed 3 Time (3 sec),School
,,,Pipe,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Pipe 1c,prior Speed 3 Time (3 sec),School
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Turtle 1a,prior Speed 3 Time (3 sec),School
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Turtle 1c,prior Speed 3 Time (3 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 1,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3b,prior Speed 3 Time (3 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3c,prior Speed 3 Time (3 sec),School
,,,Diver,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Diver 3a,prior Speed 3 Time (3 sec),School
,,,Diver,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Diver 3b,prior Speed 3 Time (3 sec),School
,,,Pipe,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Pipe 1,prior Speed 3 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Shark 3b,prior Speed 3 Time (3 sec),School
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Turtle 1,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,C- turn,Turtle 3,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM6_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Turtle 1b,prior Speed 3 Time (1.5 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD2_CAM2_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,C- turn,Diver 1,prior Speed 3 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD2_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,flight,Diver 2,prior Speed 3 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD2_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,C- turn,Diver 4,prior Speed 3 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD2_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,flight,Shark 1,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Turtle 1,prior Speed 3 Time (1 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Turtle 2,prior Speed 3 Time (1 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Pipe 1,prior Speed 3 Time (1 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Pipe 2,prior Speed 3 Time (1 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Shark 2,prior Speed 3 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,flight,Diver 1,prior Speed 3 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,C- turn,Diver 2,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Perspex 1,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Perspex 2,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,no response,Perspex 3,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Pipe 2,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Turtle 1,prior Speed 3 Time (1 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,flight,Pipe 3,prior Speed 3 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Shark 2,prior Speed 3 Time (1 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM7_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Turtle 1,prior Speed 3 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Pomacanthidae,Pomacanthus,sexstriatus,,,,hide,Diver 3,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Perspex 2,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 1,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 3,prior Speed 3 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Pomacanthidae,Pomacanthus,sexstriatus,,,,flight,Shark 5,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,flight,Turtle 2,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Turtle 2,prior Speed 3 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD3_CAM3_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Diver 1,prior Speed 3 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Shark 1,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Turtle 1,prior Speed 3 Time (1 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Turtle 2,prior Speed 3 Time (1 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM6_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Shark 1,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM6_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,hide,Turtle 1,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD3_CAM6_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,hide,Turtle 2,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2a,prior Speed 3 Time (3 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Perspex 1,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Lethrinidae,Lethrinus,atkinsoni,,,,flight,Pipe 1,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Pipe 2,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,swim backwards,Pipe 1,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Turtle 1,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Turtle 2,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Perspex 1,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Perspex 2,prior Speed 3 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,flight,Shark 2,prior Speed 3 Time (3 sec),Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,flight,Diver 1,prior Speed 3 Time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,flight,Perspex 3b,prior Speed 3 Time (3 sec),School
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,lineatus,,,,flight,Shark 2,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM7_RIG2,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Turtle 1,prior Speed 3 Time (3 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD5_CAM1_RIG2,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,flight,Shark 1,prior Speed 3 Time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD5_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Pipe 1,prior Speed 3 Time (3 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM10_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Turtle 1,FID Speed time (1.3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD1_CAM11_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 1,FID Speed time (3.44 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2,FID Speed time (0.63 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3a,FID Speed time (0.16 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3b,FID Speed time (0.56 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3c,FID Speed time (0.43 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 1,FID Speed time (0.33 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2,FID Speed time (0.33 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3a,FID Speed time (0.33 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3b,FID Speed time (0.33 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 3c,FID Speed time (0.33 sec),School
,,,Pipe,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Pipe 1,FID Speed time (1 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Shark 3b,FID Speed time (1.91 sec),School
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM4_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Turtle 1,FID Speed time (1.74 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM6_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Turtle 1a,FID Speed time (0.4 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM6_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Turtle 1b,FID Speed time (0.4 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM6_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Turtle 1c,FID Speed time (0.4 sec),Individual
,,,Diver,,NA,11.483,,,,,,,,,LIZARD2_CAM2_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,C- turn,Diver 1,FID Speed time (1.27 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Turtle 1,FID Speed time (0.17 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Turtle 2,FID Speed time (0.17 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Perspex 1,FID Speed time (0.37 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Pipe 1,FID Speed time (0.07 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Pipe 2,FID Speed time (0.07 sec),Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD2_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Shark 2,FID Speed time (0.66 sec),Individual
