"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log.length","Treatment","genus","school_individual"
"speed.dif.log.length+Treatment","log.length+Treatment",-100.165721258492,-82.3603977823226,0.18707,NA,7,1,0,2.242,0.383,0.134,1,1,0,0
"speed.dif.Treatment","Treatment",-99.5709732360181,-82.1387871800225,0.18027,NA,6,0,0.595,2.463,0.285,0.12,0,1,0,0
"speed.dif.log.length.by.Treatment+Treatment","log.length.by.Treatment+Treatment",-99.0570450119427,-72.0456385207254,0.24744,NA,11,1,1.109,12.556,0.22,0.001,1,1,0,0
