"","log.length","log.DFSAvg","Treatment","genus","school_individual"
"log.length",1,0.286667007508686,0.187147742955826,0.589068374302208,0.488873471607655
"log.DFSAvg",0.286667007508686,1,0.282295842225947,0.132891931137091,0.00269135737817302
"Treatment",0.187147742955826,0.282295842225947,0.99999959077719,0.255481148994246,0.155602991463604
"genus",0.589068374302208,0.132891931137091,0.295941625061555,0.999999653932321,0.293332761639261
"school_individual",0.488873471607655,0.00269135737817302,0.326072223688959,0.530625754986265,0.999998605157162
