"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log.length","Treatment","genus","school_individual"
"fid.log.length+Treatment","log.length+Treatment",1797.8609208015,1815.74025357026,0.20969,NA,7,1,0,0,0.785,0.435,1,1,0,0
"fid.log.length.by.Treatment+Treatment","log.length.by.Treatment+Treatment",1802.17042564787,1829.64379478577,0.2489,NA,11.15,1,4.31,13.904,0.091,0,1,1,0,0
"fid.Treatment","Treatment",1803.003430241,1819.32371293605,0.16121,NA,6,0,5.143,3.583,0.06,0.072,0,1,0,0
"fid.genus+Treatment","genus+Treatment",1804.32930114187,1828.81948722606,0.21138,NA,9,0,6.468,13.079,0.031,0.001,0,1,1,0
"fid.school_individual+Treatment","school_individual+Treatment",1804.5989997234,1823.3765425113,0.1668,NA,7,0,6.738,7.636,0.027,0.01,0,1,0,1
"fid.log.length","log.length",1808.03898228523,1815.94327382411,0.0618,NA,3,1,10.178,0.203,0.005,0.393,1,0,0,0
"fid.null","null",1812.39762194926,1819.12677923436,0.01979,NA,2,0,14.537,3.387,0.001,0.08,0,0,0,0
"fid.school_individual","school_individual",1814.08836529193,1823.40457933315,0.02225,NA,3,0,16.227,7.664,0,0.009,0,0,0,1
"fid.genus","genus",1816.80919050601,1831.65703848039,0.04025,NA,5,0,18.948,15.917,0,0,0,0,1,0
