"","log.length","log.DFSAvg","Treatment","genus","school_individual"
"log.length",1,0.369886726720085,0.179230973651259,0.665574712089017,0.413485095285799
"log.DFSAvg",0.369886726720085,1,0.229410132721732,0.220142832021059,0.0504798940593637
"Treatment",0.179230973651259,0.229410132721732,0.999999727052208,0.231492310657047,0.0684361996442064
"genus",0.665574712089017,0.220142832021059,0.26906717057124,0.999999766823757,0.278042541673572
"school_individual",0.413485095285799,0.0504798940593637,0.148153433275948,0.517855828632957,0.999998913175534
