"","unique_id","dfs.fid","dfs.prior.1","dfs.prior.2","dfs.prior.3","fid","length","speed.fid","speed.prior.1","speed.prior.2","speed.prior.3","Treatment","opcode","family","genus","species","activity","school_individual","DFSAvg","speed.priorAvg","scientific","site"
"21","Diver 3LIZARD2_CAM2_RIG1",321.14,682.106,134.44,102.35,1934.461,245.161,0.590918918918919,0,0,0.050028,"Diver","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",306.298666666667,0.016676,"Diagramma.pictum","2"
"22","Diver 3LIZARD3_CAM1_RIG1",268.128,101.582,279.04,209.636,1886.119,357.676,0.428095726495727,0,0,0,"Diver","LIZARD3_CAM1_RIG1","Pomacanthidae","Pomacanthus","sexstriatus","hide","Individual",196.752666666667,0,"Pomacanthus.sexstriatus","3"
"23","Diver 3LIZARD3_CAM3_RIG2",NA,195.909,192.578,156.544,1202.818,NA,0.27039552238806,0.0425426666666667,0.125339,0.040256,"Diver","LIZARD3_CAM3_RIG2","Lutjanidae","Lutjanus","fulviflamma","flight","Individual",181.677,0.0693792222222222,"Lutjanus.fulviflamma","3"
"24","Diver 4LIZARD2_CAM2_RIG1",155.505,212.672,245.662,234.602,1751.107,268.557,0.281834736842105,0,0,0,"Diver","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","C- turn","Individual",230.978666666667,0,"Diagramma.pictum","2"
"25","Perspex 1LIZARD1_CAM2_RIG3",305.731,NA,49.224,309.093,711.662,161.777,0.206492063492064,NA,0.117527666666667,0.0901846666666666,"Perspex","LIZARD1_CAM2_RIG3","Lutjanidae","Lutjanus","fulviflamma","no response","Individual",179.1585,0.103856166666667,"Lutjanus.fulviflamma","1"
"26","Perspex 1LIZARD1_CAM4_RIG2",123.9,158.38,159.824,148.06,1027.597,110.271,NA,0,0,0,"Perspex","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","no response","Individual",155.421333333333,0,"Lutjanus.spp","1"
"27","Perspex 1LIZARD1_CAM5_RIG3",NA,NA,NA,95.603,940.325,126.616,0.0689060240963855,0.05765,0.156475,0.107513698630137,"Perspex","LIZARD1_CAM5_RIG3","Lutjanidae","Lutjanus","spp","no response","Individual",95.603,0.107212899543379,"Lutjanus.spp","1"
"28","Perspex 1LIZARD1_CAM6_RIG1",491.312,250.233,448.177,415.83,2255.219,216.03,0.234131506849315,0.076531,0.0621615,0.0975063333333333,"Pipe","LIZARD1_CAM6_RIG1","Lutjanidae","Lutjanus","fulvus","hide","Individual",371.413333333333,0.0787329444444445,"Lutjanus.fulvus","1"
"29","Perspex 1LIZARD2_CAM2_RIG1",187.504,470.691,161.795,146.973,994.879,361.994,1.443885,0.234964,0.154848,0.191578333333333,"Perspex","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",259.819666666667,0.193796777777778,"Diagramma.pictum","2"
"30","Perspex 1LIZARD2_CAM3_RIG1",NA,181.873,133.861,164.356,1484.557,334.967,NA,NA,NA,NA,"Perspex","LIZARD2_CAM3_RIG1","Haemulidae","Diagramma","pictum","no response","Individual",160.03,NA,"Diagramma.pictum","2"
